time_min,train_1_displacement_miles,train_2_displacement_miles,bird_displacement_miles
2.083333333,1.736111111,98.26388889,8.333333333
2.1,1.75,98.25,8.4
2.116666667,1.763888889,98.23611111,8.466666667
2.133333333,1.777777778,98.22222222,8.533333333
2.15,1.791666667,98.20833333,8.6
2.166666667,1.805555556,98.19444444,8.666666667
2.183333333,1.819444444,98.18055556,8.733333333
2.2,1.833333333,98.16666667,8.8
2.216666667,1.847222222,98.15277778,8.866666667
2.233333333,1.861111111,98.13888889,8.933333333
2.25,1.875,98.125,9
2.266666667,1.888888889,98.11111111,9.066666667
2.283333333,1.902777778,98.09722222,9.133333333
2.3,1.916666667,98.08333333,9.2
2.316666667,1.930555556,98.06944444,9.266666667
2.333333333,1.944444444,98.05555556,9.333333333
2.35,1.958333333,98.04166667,9.4
2.366666667,1.972222222,98.02777778,9.466666667
2.383333333,1.986111111,98.01388889,9.533333333
2.4,2,98,9.6
2.416666667,2.013888889,97.98611111,9.666666667
2.433333333,2.027777778,97.97222222,9.733333333
2.45,2.041666667,97.95833333,9.8
2.466666667,2.055555556,97.94444444,9.866666667
2.483333333,2.069444444,97.93055556,9.933333333
2.5,2.083333333,97.91666667,10
2.516666667,2.097222222,97.90277778,10.06666667
2.533333333,2.111111111,97.88888889,10.13333333
2.55,2.125,97.875,10.2
2.566666667,2.138888889,97.86111111,10.26666667
2.583333333,2.152777778,97.84722222,10.33333333
2.6,2.166666667,97.83333333,10.4
2.616666667,2.180555556,97.81944444,10.46666667
2.633333333,2.194444444,97.80555556,10.53333333
2.65,2.208333333,97.79166667,10.6
2.666666667,2.222222222,97.77777778,10.66666667
2.683333333,2.236111111,97.76388889,10.73333333
2.7,2.25,97.75,10.8
2.716666667,2.263888889,97.73611111,10.86666667
2.733333333,2.277777778,97.72222222,10.93333333
2.75,2.291666667,97.70833333,11
2.766666667,2.305555556,97.69444444,11.06666667
2.783333333,2.319444444,97.68055556,11.13333333
2.8,2.333333333,97.66666667,11.2
2.816666667,2.347222222,97.65277778,11.26666667
2.833333333,2.361111111,97.63888889,11.33333333
2.85,2.375,97.625,11.4
2.866666667,2.388888889,97.61111111,11.46666667
2.883333333,2.402777778,97.59722222,11.53333333
2.9,2.416666667,97.58333333,11.6
2.916666667,2.430555556,97.56944444,11.66666667
2.933333333,2.444444444,97.55555556,11.73333333
2.95,2.458333333,97.54166667,11.8
2.966666667,2.472222222,97.52777778,11.86666667
2.983333333,2.486111111,97.51388889,11.93333333
3,2.5,97.5,12
3.016666667,2.513888889,97.48611111,12.06666667
3.033333333,2.527777778,97.47222222,12.13333333
3.05,2.541666667,97.45833333,12.2
3.066666667,2.555555556,97.44444444,12.26666667
3.083333333,2.569444444,97.43055556,12.33333333
3.1,2.583333333,97.41666667,12.4
3.116666667,2.597222222,97.40277778,12.46666667
3.133333333,2.611111111,97.38888889,12.53333333
3.15,2.625,97.375,12.6
3.166666667,2.638888889,97.36111111,12.66666667
3.183333333,2.652777778,97.34722222,12.73333333
3.2,2.666666667,97.33333333,12.8
3.216666667,2.680555556,97.31944444,12.86666667
3.233333333,2.694444444,97.30555556,12.93333333
3.25,2.708333333,97.29166667,13
3.266666667,2.722222222,97.27777778,13.06666667
3.283333333,2.736111111,97.26388889,13.13333333
3.3,2.75,97.25,13.2
3.316666667,2.763888889,97.23611111,13.26666667
3.333333333,2.777777778,97.22222222,13.33333333
3.35,2.791666667,97.20833333,13.4
3.366666667,2.805555556,97.19444444,13.46666667
3.383333333,2.819444444,97.18055556,13.53333333
3.4,2.833333333,97.16666667,13.6
3.416666667,2.847222222,97.15277778,13.66666667
3.433333333,2.861111111,97.13888889,13.73333333
3.45,2.875,97.125,13.8
3.466666667,2.888888889,97.11111111,13.86666667
3.483333333,2.902777778,97.09722222,13.93333333
3.5,2.916666667,97.08333333,14
3.516666667,2.930555556,97.06944444,14.06666667
3.533333333,2.944444444,97.05555556,14.13333333
3.55,2.958333333,97.04166667,14.2
3.566666667,2.972222222,97.02777778,14.26666667
3.583333333,2.986111111,97.01388889,14.33333333
3.6,3,97,14.4
3.616666667,3.013888889,96.98611111,14.46666667
3.633333333,3.027777778,96.97222222,14.53333333
3.65,3.041666667,96.95833333,14.6
3.666666667,3.055555556,96.94444444,14.66666667
3.683333333,3.069444444,96.93055556,14.73333333
3.7,3.083333333,96.91666667,14.8
3.716666667,3.097222222,96.90277778,14.86666667
3.733333333,3.111111111,96.88888889,14.93333333
3.75,3.125,96.875,15
3.766666667,3.138888889,96.86111111,15.06666667
3.783333333,3.152777778,96.84722222,15.13333333
3.8,3.166666667,96.83333333,15.2
3.816666667,3.180555556,96.81944444,15.26666667
3.833333333,3.194444444,96.80555556,15.33333333
3.85,3.208333333,96.79166667,15.4
3.866666667,3.222222222,96.77777778,15.46666667
3.883333333,3.236111111,96.76388889,15.53333333
3.9,3.25,96.75,15.6
3.916666667,3.263888889,96.73611111,15.66666667
3.933333333,3.277777778,96.72222222,15.73333333
3.95,3.291666667,96.70833333,15.8
3.966666667,3.305555556,96.69444444,15.86666667
3.983333333,3.319444444,96.68055556,15.93333333
4,3.333333333,96.66666667,16
4.016666667,3.347222222,96.65277778,16.06666667
4.033333333,3.361111111,96.63888889,16.13333333
4.05,3.375,96.625,16.2
4.066666667,3.388888889,96.61111111,16.26666667
4.083333333,3.402777778,96.59722222,16.33333333
4.1,3.416666667,96.58333333,16.4
4.116666667,3.430555556,96.56944444,16.46666667
4.133333333,3.444444444,96.55555556,16.53333333
4.15,3.458333333,96.54166667,16.6
4.166666667,3.472222222,96.52777778,16.66666667
4.183333333,3.486111111,96.51388889,16.73333333
4.2,3.5,96.5,16.8
4.216666667,3.513888889,96.48611111,16.86666667
4.233333333,3.527777778,96.47222222,16.93333333
4.25,3.541666667,96.45833333,17
4.266666667,3.555555556,96.44444444,17.06666667
4.283333333,3.569444444,96.43055556,17.13333333
4.3,3.583333333,96.41666667,17.2
4.316666667,3.597222222,96.40277778,17.26666667
4.333333333,3.611111111,96.38888889,17.33333333
4.35,3.625,96.375,17.4
4.366666667,3.638888889,96.36111111,17.46666667
4.383333333,3.652777778,96.34722222,17.53333333
4.4,3.666666667,96.33333333,17.6
4.416666667,3.680555556,96.31944444,17.66666667
4.433333333,3.694444444,96.30555556,17.73333333
4.45,3.708333333,96.29166667,17.8
4.466666667,3.722222222,96.27777778,17.86666667
4.483333333,3.736111111,96.26388889,17.93333333
4.5,3.75,96.25,18
4.516666667,3.763888889,96.23611111,18.06666667
4.533333333,3.777777778,96.22222222,18.13333333
4.55,3.791666667,96.20833333,18.2
4.566666667,3.805555556,96.19444444,18.26666667
4.583333333,3.819444444,96.18055556,18.33333333
4.6,3.833333333,96.16666667,18.4
4.616666667,3.847222222,96.15277778,18.46666667
4.633333333,3.861111111,96.13888889,18.53333333
4.65,3.875,96.125,18.6
4.666666667,3.888888889,96.11111111,18.66666667
4.683333333,3.902777778,96.09722222,18.73333333
4.7,3.916666667,96.08333333,18.8
4.716666667,3.930555556,96.06944444,18.86666667
4.733333333,3.944444444,96.05555556,18.93333333
4.75,3.958333333,96.04166667,19
4.766666667,3.972222222,96.02777778,19.06666667
4.783333333,3.986111111,96.01388889,19.13333333
4.8,4,96,19.2
4.816666667,4.013888889,95.98611111,19.26666667
4.833333333,4.027777778,95.97222222,19.33333333
4.85,4.041666667,95.95833333,19.4
4.866666667,4.055555556,95.94444444,19.46666667
4.883333333,4.069444444,95.93055556,19.53333333
4.9,4.083333333,95.91666667,19.6
4.916666667,4.097222222,95.90277778,19.66666667
4.933333333,4.111111111,95.88888889,19.73333333
4.95,4.125,95.875,19.8
4.966666667,4.138888889,95.86111111,19.86666667
4.983333333,4.152777778,95.84722222,19.93333333
5,4.166666667,95.83333333,20
5.016666667,4.180555556,95.81944444,20.06666667
5.033333333,4.194444444,95.80555556,20.13333333
5.05,4.208333333,95.79166667,20.2
5.066666667,4.222222222,95.77777778,20.26666667
5.083333333,4.236111111,95.76388889,20.33333333
5.1,4.25,95.75,20.4
5.116666667,4.263888889,95.73611111,20.46666667
5.133333333,4.277777778,95.72222222,20.53333333
5.15,4.291666667,95.70833333,20.6
5.166666667,4.305555556,95.69444444,20.66666667
5.183333333,4.319444444,95.68055556,20.73333333
5.2,4.333333333,95.66666667,20.8
5.216666667,4.347222222,95.65277778,20.86666667
5.233333333,4.361111111,95.63888889,20.93333333
5.25,4.375,95.625,21
5.266666667,4.388888889,95.61111111,21.06666667
5.283333333,4.402777778,95.59722222,21.13333333
5.3,4.416666667,95.58333333,21.2
5.316666667,4.430555556,95.56944444,21.26666667
5.333333333,4.444444444,95.55555556,21.33333333
5.35,4.458333333,95.54166667,21.4
5.366666667,4.472222222,95.52777778,21.46666667
5.383333333,4.486111111,95.51388889,21.53333333
5.4,4.5,95.5,21.6
5.416666667,4.513888889,95.48611111,21.66666667
5.433333333,4.527777778,95.47222222,21.73333333
5.45,4.541666667,95.45833333,21.8
5.466666667,4.555555556,95.44444444,21.86666667
5.483333333,4.569444444,95.43055556,21.93333333
5.5,4.583333333,95.41666667,22
5.516666667,4.597222222,95.40277778,22.06666667
5.533333333,4.611111111,95.38888889,22.13333333
5.55,4.625,95.375,22.2
5.566666667,4.638888889,95.36111111,22.26666667
5.583333333,4.652777778,95.34722222,22.33333333
5.6,4.666666667,95.33333333,22.4
5.616666667,4.680555556,95.31944444,22.46666667
5.633333333,4.694444444,95.30555556,22.53333333
5.65,4.708333333,95.29166667,22.6
5.666666667,4.722222222,95.27777778,22.66666667
5.683333333,4.736111111,95.26388889,22.73333333
5.7,4.75,95.25,22.8
5.716666667,4.763888889,95.23611111,22.86666667
5.733333333,4.777777778,95.22222222,22.93333333
5.75,4.791666667,95.20833333,23
5.766666667,4.805555556,95.19444444,23.06666667
5.783333333,4.819444444,95.18055556,23.13333333
5.8,4.833333333,95.16666667,23.2
5.816666667,4.847222222,95.15277778,23.26666667
5.833333333,4.861111111,95.13888889,23.33333333
5.85,4.875,95.125,23.4
5.866666667,4.888888889,95.11111111,23.46666667
5.883333333,4.902777778,95.09722222,23.53333333
5.9,4.916666667,95.08333333,23.6
5.916666667,4.930555556,95.06944444,23.66666667
5.933333333,4.944444444,95.05555556,23.73333333
5.95,4.958333333,95.04166667,23.8
5.966666667,4.972222222,95.02777778,23.86666667
5.983333333,4.986111111,95.01388889,23.93333333
6,5,95,24
6.016666667,5.013888889,94.98611111,24.06666667
6.033333333,5.027777778,94.97222222,24.13333333
6.05,5.041666667,94.95833333,24.2
6.066666667,5.055555556,94.94444444,24.26666667
6.083333333,5.069444444,94.93055556,24.33333333
6.1,5.083333333,94.91666667,24.4
6.116666667,5.097222222,94.90277778,24.46666667
6.133333333,5.111111111,94.88888889,24.53333333
6.15,5.125,94.875,24.6
6.166666667,5.138888889,94.86111111,24.66666667
6.183333333,5.152777778,94.84722222,24.73333333
6.2,5.166666667,94.83333333,24.8
6.216666667,5.180555556,94.81944444,24.86666667
6.233333333,5.194444444,94.80555556,24.93333333
6.25,5.208333333,94.79166667,25
6.266666667,5.222222222,94.77777778,25.06666667
6.283333333,5.236111111,94.76388889,25.13333333
6.3,5.25,94.75,25.2
6.316666667,5.263888889,94.73611111,25.26666667
6.333333333,5.277777778,94.72222222,25.33333333
6.35,5.291666667,94.70833333,25.4
6.366666667,5.305555556,94.69444444,25.46666667
6.383333333,5.319444444,94.68055556,25.53333333
6.4,5.333333333,94.66666667,25.6
6.416666667,5.347222222,94.65277778,25.66666667
6.433333333,5.361111111,94.63888889,25.73333333
6.45,5.375,94.625,25.8
6.466666667,5.388888889,94.61111111,25.86666667
6.483333333,5.402777778,94.59722222,25.93333333
6.5,5.416666667,94.58333333,26
6.516666667,5.430555556,94.56944444,26.06666667
6.533333333,5.444444444,94.55555556,26.13333333
6.55,5.458333333,94.54166667,26.2
6.566666667,5.472222222,94.52777778,26.26666667
6.583333333,5.486111111,94.51388889,26.33333333
6.6,5.5,94.5,26.4
6.616666667,5.513888889,94.48611111,26.46666667
6.633333333,5.527777778,94.47222222,26.53333333
6.65,5.541666667,94.45833333,26.6
6.666666667,5.555555556,94.44444444,26.66666667
6.683333333,5.569444444,94.43055556,26.73333333
6.7,5.583333333,94.41666667,26.8
6.716666667,5.597222222,94.40277778,26.86666667
6.733333333,5.611111111,94.38888889,26.93333333
